id,symbol,strategy,start_time,end_time,status,init_balance,final_balance,profit_pct,trades_count,params
SIM_20250529_163320_ADA,ADA,macd,2025-05-29T16:33:20.616966,2025-05-29T16:33:20.621730,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_ADA,ADA,bollinger,2025-05-29T16:33:20.631585,2025-05-29T16:33:20.636415,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_ADA,ADA,sma,2025-05-29T16:33:20.646029,2025-05-29T16:33:20.650794,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_DOT,DOT,combined,2025-05-29T16:33:20.660547,2025-05-29T16:33:20.665474,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_DOT,DOT,rsi,2025-05-29T16:33:20.674947,2025-05-29T16:33:20.679816,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_DOT,DOT,ema,2025-05-29T16:33:20.689256,2025-05-29T16:33:20.694157,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_DOT,DOT,macd,2025-05-29T16:33:20.703418,2025-05-29T16:33:20.708116,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_DOT,DOT,bollinger,2025-05-29T16:33:20.717198,2025-05-29T16:33:20.722459,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_DOT,DOT,sma,2025-05-29T16:33:20.732058,2025-05-29T16:33:20.737066,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_LINK,LINK,combined,2025-05-29T16:33:20.780924,2025-05-29T16:33:20.785726,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_LINK,LINK,rsi,2025-05-29T16:33:20.794757,2025-05-29T16:33:20.799609,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_LINK,LINK,ema,2025-05-29T16:33:20.808690,2025-05-29T16:33:20.813674,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_LINK,LINK,macd,2025-05-29T16:33:20.822884,2025-05-29T16:33:20.828176,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_LINK,LINK,bollinger,2025-05-29T16:33:20.837889,2025-05-29T16:33:20.843002,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_LINK,LINK,sma,2025-05-29T16:33:20.852215,2025-05-29T16:33:20.857055,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_ATOM,ATOM,combined,2025-05-29T16:33:20.935088,2025-05-29T16:33:20.940260,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_ATOM,ATOM,rsi,2025-05-29T16:33:20.949649,2025-05-29T16:33:20.954866,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_ATOM,ATOM,ema,2025-05-29T16:33:20.964488,2025-05-29T16:33:20.969481,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_ATOM,ATOM,macd,2025-05-29T16:33:20.978797,2025-05-29T16:33:20.983709,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163320_ATOM,ATOM,bollinger,2025-05-29T16:33:20.993085,2025-05-29T16:33:20.997736,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
SIM_20250529_163321_ATOM,ATOM,sma,2025-05-29T16:33:21.008178,2025-05-29T16:33:21.013362,completed,1000.0,1000.0,0.0,0,"{""initial_balance"": 1000.0, ""take_profit"": 0.2, ""stop_loss"": 0.1, ""max_positions"": 13}"
